,importance
thal_7.0,0.15485690829784723
cp_4.0,0.1490928322515755
thalach,0.12358437860619588
oldpeak,0.10922969931616447
age,0.08575021556398126
exang,0.061179673165222985
chol,0.05542502619155417
trestbps,0.05077495118054528
sex,0.039446955676870114
ca_1.0,0.03745441863826463
slope_2.0,0.036928150846819066
cp_3.0,0.02569756581783224
ca_2.0,0.022086815573017053
restecg_2.0,0.020990431178158898
cp_2.0,0.012437991177846977
