model,accuracy,precision,recall,f1
Random Forest,0.8289473684210527,0.8055555555555556,0.8285714285714286,0.8169014084507042
Decision Tree,0.6973684210526315,0.7307692307692307,0.5428571428571428,0.6229508196721312
